"Record Date","Country - Currency Description","Exchange Rate","Effective Date"
"2024-09-30","Afghanistan-Afghani","68.46","2024-09-30"
"2024-09-30","Albania-Lek","87.85","2024-09-30"
"2024-09-30","Algeria-Dinar","131.49","2024-09-30"
"2024-09-30","Angola-Kwanza","949.825","2024-09-30"
"2024-09-30","Antigua & Barbuda-E. Caribbean Dollar","2.7","2024-09-30"
"2024-09-30","Argentina-Peso","989.5","2024-09-30"
"2024-09-30","Armenia-Dram","390.0","2024-09-30"
"2024-09-30","Australia-Dollar","1.445","2024-09-30"
"2024-09-30","Azerbaijan-Manat","1.7","2024-09-30"
"2024-09-30","Bahamas-Dollar","1.0","2024-09-30"
"2024-09-30","Bahrain-Dinar","0.377","2024-09-30"
"2024-09-30","Bangladesh-Taka","119.0","2024-09-30"
"2024-09-30","Barbados-Dollar","2.02","2024-09-30"
"2024-09-30","Belarus-New Ruble","3.21","2024-09-30"
"2024-09-30","Belize-Dollar","2.0","2024-09-30"
"2024-09-30","Benin-CFA Franc","585.75","2024-09-30"
"2024-09-30","Bermuda-Dollar","1.0","2024-09-30"
"2024-09-30","Bolivia-Boliviano","6.86","2024-09-30"
"2024-09-30","Bosnia-Marka","1.746","2024-09-30"
"2024-09-30","Botswana-Pula","12.97","2024-09-30"
"2024-09-30","Brazil-Real","5.434","2024-09-30"
"2024-09-30","Brunei-Dollar","1.281","2024-09-30"
"2024-09-30","Bulgaria-Lev New","1.746","2024-09-30"
"2024-09-30","Burkina Faso-CFA Franc","585.75","2024-09-30"
"2024-09-30","Burundi-Franc","2900.0","2024-09-30"
"2024-09-30","Cambodia-Riel","4051.0","2024-09-30"
"2024-09-30","Cameroon-CFA Franc","585.68","2024-09-30"
"2024-09-30","Canada-Dollar","1.352","2024-09-30"
"2024-09-30","Cape Verde-Escudo","98.44","2024-09-30"
"2024-09-30","Cayman Islands-Dollar","0.82","2024-09-30"
"2024-09-30","Central African Rep.-CFA Franc","585.68","2024-09-30"
"2024-09-30","Chad-CFA Franc","585.68","2024-09-30"
"2024-09-30","Chile-Peso","898.5","2024-09-30"
"2024-09-30","China-Renminbi","7.012","2024-09-30"
"2024-09-30","Colombia-Peso","4177.83","2024-09-30"
"2024-09-30","Comoros-Franc","439.65","2024-09-30"
"2024-09-30","Congo-CFA Franc","585.68","2024-09-30"
"2024-09-30","Costa Rica-Colon","516.65","2024-09-30"
"2024-09-30","Cote D'ivoire-CFA Franc","585.75","2024-09-30"
"2024-09-30","Cuba-Chavito","1.0","2024-09-30"
"2024-09-30","Cuba-Peso","24.0","2024-09-30"
"2024-09-30","Czech Republic-Koruna","21.912","2024-09-30"
"2024-09-30","Dem. Rep. of Congo-Congolese Franc","2836.0","2024-09-30"
"2024-09-30","Denmark-Krone","6.658","2024-09-30"
"2024-09-30","Djibouti-Franc","177.0","2024-09-30"
